feature_name,feature_type,eicu_mse,eicu_mae,mimic_mse,mimic_mae
HR,min,0.0034056403674185276,0.05097031593322754,0.003710927441716194,0.05267390236258507
HR,max,0.009312191978096962,0.08403705060482025,0.009501537308096886,0.08673764765262604
HR,mean,0.0021099706646054983,0.036864131689071655,0.002151794033125043,0.03548194468021393
HR,std,0.0017042334657162428,0.032188933342695236,0.0018069896614179015,0.034414149820804596
RR,min,0.004167268518358469,0.05770349130034447,0.005057259928435087,0.06380008906126022
RR,max,0.008144567720592022,0.07763635367155075,0.009371122345328331,0.0861380472779274
RR,mean,0.0004418106400407851,0.015575313940644264,0.00038704375037923455,0.014613110572099686
RR,std,0.004491900559514761,0.05482613295316696,0.0045378864742815495,0.054770227521657944
SpO2,min,0.012545762583613396,0.09291743487119675,0.013878664933145046,0.10258951038122177
SpO2,max,3.1842390058045567e-07,0.00043698676745407283,3.534516963554779e-07,0.000459266419056803
SpO2,mean,0.00024557946017012,0.01173616573214531,0.0002960451238323003,0.012535284273326397
SpO2,std,0.004571379162371159,0.05247180163860321,0.00447570625692606,0.05330324545502663
WBC,min,0.000776235363446176,0.02232847921550274,0.001037186710163951,0.02729443460702896
WBC,max,0.0028019894380122423,0.04260658100247383,0.002315340330824256,0.03800981119275093
WBC,mean,0.0031964536756277084,0.044531092047691345,0.0029547875747084618,0.044245004653930664
WBC,std,0.00304022035561502,0.0439809188246727,0.0023819671478122473,0.03878265991806984
Na,min,0.007903859950602055,0.07340524345636368,0.006962128449231386,0.06813446432352066
Na,max,0.008630787022411823,0.06846783310174942,0.0077964975498616695,0.06631018966436386
Na,mean,0.0031710327602922916,0.04505593702197075,0.002944488078355789,0.04435048997402191
Na,std,0.004340666346251965,0.05096559599041939,0.003567538922652602,0.046583786606788635
Creat,min,0.017209812998771667,0.09037815779447556,0.014969505369663239,0.08616553992033005
Creat,max,0.015330986119806767,0.10027052462100983,0.014768348075449467,0.0967828705906868
Creat,mean,0.016101885586977005,0.11129497736692429,0.015736863017082214,0.10766054689884186
Creat,std,0.0077127814292907715,0.0761483833193779,0.006698851007968187,0.068936288356781
Age,demographic,0.46907520294189453,0.5474550127983093,0.48259976506233215,0.5668830871582031
Gender,demographic,0.34660014510154724,0.5512232184410095,0.34412670135498047,0.5488621592521667
